verb,f_raw,m_raw,total,f_norm,m_norm
say,169,133,302,25.37,24.07
have,130,109,239,19.51,19.72
see,86,25,111,12.91,4.52
come,23,72,95,3.45,13.03
think,58,30,88,8.71,5.43
feel,68,15,83,10.21,2.71
go,48,33,81,7.21,5.97
reply,43,35,78,6.45,6.33
do,30,46,76,4.5,8.32
know,40,31,71,6.0,5.61
cry,48,22,70,7.21,3.98
look,36,34,70,5.4,6.15
speak,24,30,54,3.6,5.43
make,22,32,54,3.3,5.79
take,23,24,47,3.45,4.34
