object_word,verb,gender,tier,dep_type,is_dialogue,example
she,tell,female,pronoun,dobj,False,"Had Elizabeth been able to encounter his eyes, she might have seen how well the expression of heartfelt delight diffused over his face became him: but"
woman,please,female,role_noun,dobj,True,You showed me how insufficient were all my pretensions to please a woman worthy of being pleased.”
she,tell,female,pronoun,dobj,False,"He then told her of Georgiana’s delight in her acquaintance, and of her disappointment at its sudden interruption; which naturally leading to the caus"
she,follow,female,pronoun,dobj,False,"He then told her of Georgiana’s delight in her acquaintance, and of her disappointment at its sudden interruption; which naturally leading to the caus"
he,tell,male,pronoun,dobj,True,I told him of all that had occurred to make my former interference in his affairs absurd and impertinent.
he,tell,male,pronoun,dobj,True,"I told him, moreover, that I believed myself mistaken in supposing, as I had done, that your sister was indifferent to him; and as I could easily perc"
he,tell,male,pronoun,dobj,True,"“Did you speak from your own observation,” said she, “when you told him that my sister loved him, or merely from my information last spring?”"
he,love,male,pronoun,dobj,True,"“Did you speak from your own observation,” said she, “when you told him that my sister loved him, or merely from my information last spring?”"
she,observe,female,pronoun,dobj,True,"I had narrowly observed her, during the two visits which I had lately made her here; and I was convinced of her affection.”"
he,offend,male,pronoun,dobj,True,"I was obliged to confess one thing, which for a time, and not unjustly, offended him."
herself,check,female,pronoun,dobj,False,Elizabeth longed to observe that Mr. Bingley had been a most delightful friend; so easily guided that his worth was invaluable; but she checked hersel
he,like,male,pronoun,dobj,False,She anticipated what would be felt in the family when her situation became known: she was aware that no one liked him but Jane; and even feared that w
he,dislike,male,pronoun,dobj,True,I know how much you dislike him.”
he,love,male,pronoun,dobj,True,Perhaps I did not always love him so well as I do now; but in such cases as these a good memory is unpardonable.
she,assure,female,pronoun,dobj,False,"Elizabeth again, and more seriously, assured her of its truth."
brother,have,male,role_noun,dobj,True,Shall you like to have such a brother?”
bingley,give,male,name,dobj,True,Nothing could give either Bingley or myself more delight.
he,love,male,pronoun,dobj,True,And do you really love him quite well enough?
he,love,male,pronoun,dobj,True,"“Why, I must confess that I love him better than I do Bingley."
bingley,do,male,name,dobj,True,"“Why, I must confess that I love him better than I do Bingley."
he,love,male,pronoun,dobj,True,Will you tell me how long you have loved him?”
jane,satisfy,female,name,dobj,False,"Another entreaty that she would be serious, however, produced the desired effect; and she soon satisfied Jane by her solemn assurances of attachment."
he,esteem,male,pronoun,dobj,True,"Were it for nothing but his love of you, I must always have esteemed him; but now, as Bingley’s friend and your husband, there can be only Bingley and"
bingley,mention,male,name,dobj,False,She had been unwilling to mention Bingley; and the unsettled state of her own feelings had made her equally avoid the name of his friend: but now she 
darcy,advise,male,name,dobj,True,"“I advise Mr. Darcy, and Lizzy, and Kitty,” said Mrs. Bennet, “to walk to Oakham Mount this morning."
she,follow,female,pronoun,dobj,False,"As she went upstairs to get ready, Mrs. Bennet followed her, saying,-- “I am quite sorry, Lizzy, that you should be forced to have that disagreeable m"
man,have,male,role_noun,dobj,True,"As she went upstairs to get ready, Mrs. Bennet followed her, saying,-- “I am quite sorry, Lizzy, that you should be forced to have that disagreeable m"
he,follow,male,pronoun,dobj,False,"In the evening, soon after Mr. Bennet withdrew to the library, she saw Mr. Darcy rise also and follow him, and her agitation on seeing it was extreme."
he,distress,male,pronoun,dobj,False,"She did not fear her father’s opposition, but he was going to be made unhappy, and that it should be through her means; that _she_, his favourite chil"
he,fill,male,pronoun,dobj,False,"She did not fear her father’s opposition, but he was going to be made unhappy, and that it should be through her means; that _she_, his favourite chil"
man,accept,male,role_noun,dobj,True,Are you out of your senses to be accepting this man?
he,hate,male,pronoun,dobj,True,Have not you always hated him?”
she,spare,female,pronoun,dobj,False,"It would have spared her from explanations and professions which it was exceedingly awkward to give; but they were now necessary, and she assured him,"
he,assure,male,pronoun,dobj,False,"It would have spared her from explanations and professions which it was exceedingly awkward to give; but they were now necessary, and she assured him,"
he,have,male,pronoun,dobj,True,"“Or, in other words, you are determined to have him."
he,like,male,pronoun,dobj,True,"We all know him to be a proud, unpleasant sort of man; but this would be nothing if you really liked him.”"
he,like,male,pronoun,dobj,True,"“I do, I do like him,” she replied, with tears in her eyes; “I love him."
he,love,male,pronoun,dobj,True,"“I do, I do like him,” she replied, with tears in her eyes; “I love him."
he,have,male,pronoun,dobj,True,"I now give it to _you_, if you are resolved on having him."
husband,esteem,male,role_noun,dobj,True,"I know that you could be neither happy nor respectable, unless you truly esteemed your husband, unless you looked up to him as a superior."
he,reconcile,male,pronoun,dobj,False,"Elizabeth, still more affected, was earnest and solemn in her reply; and, at length, by repeated assurances that Mr. Darcy was really the object of he"
he,tell,male,pronoun,dobj,False,"To complete the favourable impression, she then told him what Mr. Darcy had voluntarily done for Lydia."
she,hear,female,pronoun,dobj,False,He heard her with astonishment.
he,pay,male,pronoun,dobj,True,"Had it been your uncle’s doing, I must and _would_ have paid him; but these violent young lovers carry everything their own way."
he,pay,male,pronoun,dobj,True,"I shall offer to pay him to-morrow, he will rant and storm about his love for you, and there will be an end of the matter.”"
she,follow,female,pronoun,dobj,False,"When her mother went up to her dressing-room at night, she followed her, and made the important communication."
herself,bless,female,pronoun,dobj,False,"She began at length to recover, to fidget about in her chair, get up, sit down again, wonder, and bless herself."
he,dislike,male,pronoun,dobj,True,pray apologize for my having disliked him so much before.
she,follow,female,pronoun,dobj,False,"But before she had been three minutes in her own room, her mother followed her."
she,assure,female,pronoun,dobj,False,Elizabeth had the satisfaction of seeing her father taking pains to get acquainted with him; and Mr. Bennet soon assured her that he was rising every 
son,admire,male,role_noun,dobj,True,"“I admire all my three sons-in-law highly,” said he."
husband,like,male,role_noun,dobj,True,"“Wickham, perhaps, is my favourite; but I think I shall like _your_ husband quite as well as Jane’s.”"
she,befall,female,pronoun,dobj,True,“Shall you ever have courage to announce to Lady Catherine what is to befall her?”
he,praise,male,pronoun,dobj,True,"You must write again very soon, and praise him a great deal more than you did in your last."
catherine,console,female,name,dobj,True,Console Lady Catherine as well as you can.
he,compliment,male,pronoun,dobj,False,"He could even listen to Sir William Lucas, when he complimented him on carrying away the brightest jewel of the country, and expressed his hopes of th"
he,shield,male,pronoun,dobj,False,"Elizabeth did all she could to shield him from the frequent notice of either, and was ever anxious to keep him to herself, and to those of her family "
he,keep,male,pronoun,dobj,False,"Elizabeth did all she could to shield him from the frequent notice of either, and was ever anxious to keep him to herself, and to those of her family "
bingley,visit,female,name,dobj,False,"With what delighted pride she afterwards visited Mrs. Bingley, and talked of Mrs. Darcy, may be guessed."
daughter,miss,female,role_noun,dobj,False,Mr. Bennet missed his second daughter exceedingly; his affection for her drew him oftener from home than anything else could do.
he,draw,male,pronoun,dobj,False,Mr. Bennet missed his second daughter exceedingly; his affection for her drew him oftener from home than anything else could do.
she,invite,female,pronoun,dobj,False,From the further disadvantage of Lydia’s society she was of course carefully kept; and though Mrs. Wickham frequently invited her to come and stay wit
darcy,love,male,name,dobj,True,"If you love Mr. Darcy half so well as I do my dear Wickham, you must be very happy."
wickham,do,male,name,dobj,True,"If you love Mr. Darcy half so well as I do my dear Wickham, you must be very happy."
she,give,female,pronoun,dobj,False,"His affection for her soon sunk into indifference: hers lasted a little longer; and, in spite of her youth and her manners, she retained all the claim"
he,receive,male,pronoun,dobj,False,"Though Darcy could never receive _him_ at Pemberley, yet, for Elizabeth’s sake, he assisted him further in his profession."
he,assist,male,pronoun,dobj,False,"Though Darcy could never receive _him_ at Pemberley, yet, for Elizabeth’s sake, he assisted him further in his profession."
himself,enjoy,male,pronoun,dobj,False,"Lydia was occasionally a visitor there, when her husband was gone to enjoy himself in London or Bath; and with the Bingleys they both of them frequent"
herself,conduct,female,pronoun,dobj,False,"But at length, by Elizabeth’s persuasion, he was prevailed on to overlook the offence, and seek a reconciliation; and, after a little further resistan"
she,bring,female,pronoun,dobj,False,"Darcy, as well as Elizabeth, really loved them; and they were both ever sensible of the warmest gratitude towards the persons who, by bringing her int"
