adjective,f_raw,m_raw,total,f_norm,m_norm
young,82,57,139,11.58,10.96
dear,55,19,74,7.77,3.65
poor,17,5,22,2.4,0.96
happy,9,10,19,1.27,1.92
eld,18,1,19,2.54,0.19
able,12,6,18,1.69,1.15
other,10,8,18,1.41,1.54
sensible,9,8,17,1.27,1.54
handsome,8,8,16,1.13,1.54
sure,9,4,13,1.27,0.77
amiable,8,4,12,1.13,0.77
glad,6,6,12,0.85,1.15
well,10,1,11,1.41,0.19
agreeable,1,10,11,0.14,1.92
pleased,9,1,10,1.27,0.19
